cd_ibge,ptb_rate,early_ptb_rate,extr_ptb_rate
2503506,0.0012821259980185325,0.00029139227227693924,0.0
2503555,0.002099370188943317,0.0006997900629811056,0.00027991602519244227
2503605,0.0015085024684585847,0.00013713658804168953,0.0
2503704,0.0017806267806267807,0.0002913752913752914,0.0001295001295001295
2503753,0.00031436655139893113,0.0,0.0
2503803,0.0018388498829822802,0.0005015045135406219,0.0
2503902,0.002335669002335669,0.000667334000667334,0.0
2504009,0.0020663996544547846,0.00037548592295912357,0.00010552872344602819
2504033,0.002646326276463263,0.0006226650062266501,0.00031133250311332503
2504074,0.0014492753623188406,0.00024154589371980676,0.0
2504108,0.0003800836183960471,0.0,0.0
2504157,0.0012111425111021397,0.0005382855604898399,0.00026914278024491994
2504207,0.0014201663623453033,0.0008115236356258876,0.0004057618178129438
2504306,0.001153478561777016,0.0002636522426918894,0.00016478265168243087
2504355,0.0014562096941959641,0.00020802995631370917,0.0
2504405,0.0015869657215404147,0.00026449428692340246,5.289885738468049e-05
2504504,0.0015039855617386072,0.0,0.0
2504603,0.0013567405336512765,0.0004933601940550097,0.00012334004851375242
2504702,0.001671891327063741,0.0002089864158829676,0.0002089864158829676
2504801,0.001167088115152694,0.00025935291447837645,0.00012967645723918823
2504850,0.001048767697954903,0.0005243838489774515,0.0
2504900,0.001554762178970402,0.0003455027064378671,0.00011516756881262236
2505006,0.001932242689681824,0.0007728970758727296,0.0003864485379363648
2505105,0.0010322961215160006,0.0002949417490045716,9.83139163348572e-05
2505204,0.0023450095266012018,0.0010259416678880258,0.0001465630954125751
2505238,0.001417546070247283,0.00015750511891636477,0.0
2505279,0.00038153376573826786,0.0,0.0
2505303,0.0003966679888932963,0.0,0.0
2505352,0.0011344299489506524,0.0003781433163168841,0.0
2505402,0.001087087812537746,0.0,0.0
2505501,0.0013252054068380599,0.00026504108136761196,0.0
2505600,0.0013688212927756654,0.0003041825095057034,0.0
2505709,0.001534183526704382,0.0003835458816760955,9.588647041902388e-05
2505808,0.00221606648199446,0.0002770083102493075,0.0
2505907,0.0002853067047075606,0.0,0.0
2506004,0.0014241129594279307,0.00015150137866254583,6.060055146501833e-05
2506103,0.0023778071334214002,0.0002642007926023778,0.0
2506202,0.001003344481605351,0.0,0.0
2506251,0.002130681818181818,0.00023674242424242425,0.00011837121212121212
2506301,0.0014019011146823497,0.0002735416809136292,5.1289065171305476e-05
2506400,0.001203028801924846,0.00021229920033967873,0.0
2506509,0.000881575080811049,0.0,0.0
2506608,0.002182672934855608,0.000167897918065816,0.0
2506707,0.0007633587786259542,0.00016963528413910093,0.0
2506806,0.002265068228274681,0.00033147339925970943,0.0001104911330865698
2506905,0.0006520764559644618,0.00024452867098667317,4.0754778497778866e-05
2507002,0.0013385794832271934,0.00040563014643248287,0.00020281507321624143
2507101,0.001243176044538133,0.00010810226474244635,0.0
2507200,0.002036848439959263,0.0010184242199796315,0.00027775205999444494
2507309,0.0015332078890515019,0.00034845633842079586,6.969126768415918e-05
2507408,0.0015519917227108122,0.00012933264355923435,0.0
2507507,0.001575613845909714,0.00028738396872262826,8.496569510060313e-05
2507606,0.0011398176291793312,0.00012664640324214793,0.0
2507705,0.0022171719971176766,0.0004988636993514772,0.00016628789978382572
2507804,0.001829954954954955,0.0004222972972972973,0.00014076576576576576
2507903,0.001959503592423253,0.000373238779509191,9.330969487729775e-05
2508000,0.0007080720210398543,0.00020230629172567267,0.0
2508109,0.0023509296858303056,0.00021372088053002778,0.00021372088053002778
2508208,0.0015700641109511972,0.00013083867591259977,0.0
2508307,0.0017162680299433997,0.0002921307285010042,3.6516341062625523e-05
2508406,0.0018188432157148053,0.0,0.0
2508505,0.000949667616334283,0.000271333604666938,0.000135666802333469
2508554,0.0004657661853749418,0.0,0.0
2508604,0.0016223733003708281,0.00030902348578491963,0.0
2508703,0.0004975124378109452,0.0,0.0
2508802,0.002081165452653486,0.0,0.0
2508901,0.0013211814497167298,0.0002463219652014242,8.95716237096088e-05
2509008,0.00144248106743599,0.00018031013342949875,0.0
2509057,0.0020094562647754136,0.0003546099290780142,0.00011820330969267139
2509107,0.0011922230374174616,0.0002292736610418195,4.5854732208363906e-05
2509156,0.0006092916984006092,0.0001523229246001523,0.0
2509206,0.0014553922282055014,0.0005093872798719255,0.00021830883423082522
2509305,0.002521916656659061,0.00012009126936471719,0.0
2509339,0.002878653675819309,0.0004428697962798937,0.0
2509370,0.0,0.0,0.0
2509396,0.0012296341838303104,0.00046111281893636643,0.0001537042729787888
2509404,0.001127141568981064,0.00015028554253080853,7.514277126540426e-05
2509503,0.001607717041800643,0.0007145409074669524,0.0003572704537334762
2509602,0.0018793067446230946,0.0006264355815410315,0.0
2509701,0.0019692792437967705,0.00042415245251007364,0.00015148301875359771
2509800,0.0015185260174124316,0.0003037052034824863,0.00010123506782749544
2509909,0.0007649646203863071,0.00019124115509657678,0.0
2510006,0.0012308533916849016,0.0002735229759299781,0.00013676148796498905
2510105,0.001408318467749507,0.00037555159139986854,9.388789784996713e-05
2510204,0.0008364001338240214,0.00033456005352960856,0.0
2510303,0.0012396694214876034,0.00020661157024793388,0.0
2510402,0.000758495145631068,0.0,0.0
2510501,0.001278118609406953,0.0002556237218813906,0.0
2510600,0.0009891196834817012,0.0,0.0
2510659,0.0005599104143337066,0.0,0.0
2510709,0.0016652789342214821,0.0,0.0
2510808,0.0012244821655574664,0.000252374186794287,2.8041576310476332e-05
2510907,0.0010603588907014683,8.156606851549755e-05,0.0
2511004,0.0002631578947368421,0.0,0.0
2511103,0.0012876641771825909,0.0002575328354365182,0.0001287664177182591
2511202,0.0013033217091126845,0.0001761245552854979,0.0
2511301,0.0006858710562414266,6.235191420376606e-05,0.0
2511400,0.0013899283652304075,0.00026729391639046296,0.00016037634983427778
2511509,0.0012652889076339097,8.435259384226065e-05,8.435259384226065e-05
2511608,0.0025449101796407186,0.0004491017964071856,0.0
2511707,0.0023506366307541626,0.0003917727717923604,0.0
2511806,0.0022701475595913734,0.00037835792659856227,9.458948164964057e-05
2511905,0.0009521794329242488,0.00015869657215404148,0.0
2512002,0.0015736068153453795,0.0002170492159097075,0.00010852460795485376
2512036,0.0018533227429176596,0.0,0.0
2512077,0.00023386342376052386,0.0,0.0
2512101,0.0014962288924852667,0.00021374698464075238,0.0
2512200,0.0007244626901714562,0.0,0.0
